# timestamp,mag_x,mag_y,mag_z
1531207355462,-27.75,9.0,4.375
1531207355745,-30.0625,11.0,6.4375
1531207355751,-29.9375,11.125,7.0
1531207355762,-29.9375,11.5625,7.0
1531207355772,-29.375,11.25,7.1875
1531207355782,-29.0625,10.5,7.3125
1531207355792,-29.0625,10.375,7.1875
1531207355802,-29.1875,10.1875,7.0625
1531207355812,-29.0625,10.0625,6.75
1531207355822,-29.0625,9.875,6.5625
1531207355832,-29.0625,9.75,6.125
1531207355842,-28.625,9.4375,6.0
1531207355852,-28.5,9.3125,6.0
1531207355862,-28.3125,9.3125,5.875
1531207355872,-28.75,9.3125,6.0
1531207355882,-28.75,9.75,6.3125
1531207355892,-29.1875,10.0625,6.4375
1531207355902,-29.3125,10.0625,6.4375
1531207355912,-29.625,10.5,7.0625
1531207355922,-29.5,10.375,6.5625
1531207355932,-29.4375,9.75,6.3125
1531207355942,-29.1875,9.625,6.125
1531207355952,-29.0625,9.625,5.8125
1531207355962,-29.3125,8.875,5.6875
1531207355972,-29.3125,9.0,5.8125
1531207355982,-29.5625,9.0,6.3125
1531207355992,-29.4375,8.5625,6.5625
1531207356002,-29.75,8.75,7.0625
1531207356012,-29.6875,8.4375,7.3125
1531207356022,-29.5625,8.75,7.8125
1531207356032,-29.5625,8.875,8.25
1531207356042,-30.125,9.0,8.6875
1531207356052,-30.25,8.5625,9.0
1531207356062,-30.25,8.5625,9.125
1531207356072,-30.8125,8.3125,9.25
1531207356082,-30.6875,8.0,9.25
1531207356091,-30.375,8.125,9.125
1531207356102,-30.25,8.0,9.25
1531207356111,-30.125,8.4375,9.75
1531207356122,-29.5625,8.4375,10.0
1531207356131,-29.4375,9.1875,9.875
1531207356142,-29.4375,9.125,10.1875
1531207356151,-29.4375,9.625,9.875
1531207356162,-29.1875,9.3125,9.125
1531207356171,-29.125,9.0,9.0
1531207356182,-29.3125,8.5625,9.0
1531207356192,-29.6875,8.75,8.6875
1531207356202,-29.4375,8.5625,8.5625
1531207356211,-29.6875,8.5625,8.8125
1531207356222,-29.6875,8.75,8.5625
1531207356231,-29.6875,8.5625,8.25
1531207356242,-29.5625,8.4375,8.375
1531207356251,-30.0,8.4375,8.5625
1531207356262,-30.125,8.75,8.5
1531207356273,-30.4375,8.5625,8.5
1531207356282,-30.6875,8.5625,8.8125
1531207356292,-30.5625,8.4375,8.8125
1531207356302,-30.375,8.3125,9.0
1531207356312,-30.375,7.8125,9.25
1531207356322,-30.375,8.125,9.5625
1531207356332,-30.125,8.0,10.0
